通し番号	章	章内の通番	英単語	品詞	訳
123	U7	1	speech	名	演説
124	U7	2	make a speech	句	演説をする
125	U7	3	suddenly	副	突然、急に
126	U7	4	panic	名	恐慌
127	U7	5	full	形	いっぱいの
128	U7	6	anxiety	名	心配, 不安
129	U7	7	graduate	動	卒業する
130	U7	8	possible	形	可能な
131	U7	9	shock	名	衝撃
132	U7	10	in a panic	句	あわてふためいて
133	U7	11	in ~'s place	句	〜の立場に
134	U7	12	be full of ~	句	〜でいっぱいである
135	U7	13	graduate from ~	句	〜を卒業する
136	U7	14	speak to ~	句	〜と話す
137	U7	15	billionaire	名	大富豪, 億万長者
138	U7	16	period	名	期間, 時代, 終止符
139	U7	17	go back to ~	句	〜に戻る
140	U7	18	truth	名	真実, 事実
141	U7	19	basically	副	基本的には
142	U7	20	everywhere	副	どこでも
143	U7	21	lonely	形	さびしい
144	U7	22	unforgettable	形	忘れられない
145	U7	23	be different from ~	句	〜とちがっている
146	U7	24	find ~ out	句	〜を見つけ出す
147	U7	25	come back	句	戻って来る
148	U7	26	Hawaii	名	ハワイ
149	U7	27	round	副	ぐるりと
150	U7	28	all year round	句	一年中
151	R3	1	extinct	形	絶滅した
152	R3	2	waste	名	浪費, 無駄, 廃棄物
153	R3	3	starving	形	飢えた
154	R3	4	dying	形	死にかけている
155	R3	5	planet	名	惑星, 〈the ~で〉地球
156	R3	6	afraid	形	こわい
157	R3	7	hole	名	穴
158	R3	8	breathe	動	呼吸する、吸い込む
159	R3	9	air	名	空気
160	R3	10	chemical	名	化学物質
161	R3	11	vanish	動	消える、なくなる
162	R3	12	solution	名	解決法
163	R3	13	neither	副	…もまた〜ない
164	R3	14	salmon	名	鮭
165	R3	15	dead	形	死んだ
166	R3	16	stream	名	小川, 流れ, 傾向
167	R3	17	desert	名	砂漠
168	R3	18	delegate	名	代表
169	R3	19	government	名	政府
170	R3	20	business	名	商売、ビジネス
171	R3	21	organizer	名	設立者, 主催者, まとめ役
172	R3	22	reporter	名	記者
173	R3	23	politician	名	政治家
174	R3	24	single	形	単一の、たった1つの
175	R3	25	and yet	句	それでいて、それなのに
176	R3	26	as if ~	句	まるで〜であるかのように
177	R3	27	bring back ~	句	〜を連れ戻す、〜を生き返らせる
178	R3	28	again and again	句	何度も
179	R3	29	throw	動	投げる、放る
180	R3	30	northern	形	北(半球)の
181	R3	31	needy	形	困窮している、非常に貧しい
182	R3	32	wealth	名	富
183	R3	33	spent	■	spendの過去形・過去分詞
184	R3	34	rich	形	豊かな、裕福な
185	R3	35	medicine	名	薬
186	R3	36	affection	名	愛情、慈しみ
187	R3	37	willing	形	〜する気があって
188	R3	38	greedy	形	欲深い
189	R3	39	kindergarten	名	幼稚園
190	R3	40	behave	動	振る舞う
191	R3	41	mess	名	散らかしたもの、散らかった状態
192	R3	42	creature	名	生き物
193	R3	43	throw away	句	捨てる
194	R3	44	teach … not to ~	句	…に〜しないように教える
195	R3	45	work ~ out	句	〜を解決する
196	R3	46	comfort	動	慰める
197	R3	47	grown	■	growの過去分詞
198	R3	48	grown-up	名	大人
199	R3	49	reflect	動	反映する
200	R3	50	do the best	句	全力を尽くす
201	R3	51	You are what you do, not what you say.	句	何を言うかではなく、何をするかで人の値打ちは決まる。
202	AG3	1	bird	名	鳥